"CurrencyPrimary","AssetClass","Symbol","ISIN","DateTime","TradeDate","Quantity","TradePrice","IBCommission","IBCommissionCurrency","Buy/Sell","IBExecID"
"USD","OPT","GEO   240920P00013000","","13/09/2024;14:08:15","13/09/2024","-1","0.51","-1.0575578","USD","SELL","0001389e.66e466c3.01.01"
"USD","OPT","GEO   240920P00013000","","19/09/2024;09:56:55","19/09/2024","1","0.35","-0.05335","USD","BUY","000130c3.66ec0c22.01.01"
"USD","OPT","KO    241108C00066000","","05/11/2024;12:44:12","05/11/2024","-1","0.2","-0.574896","USD","SELL","0001de5e.672a2415.01.01"
"USD","OPT","KO    241108C00066000","","08/11/2024;15:51:54","08/11/2024","1","0.01","-0.70155","USD","BUY","00014247.672e2434.03.01"
"USD","OPT","KO    241122C00066000","","08/11/2024;15:51:54","08/11/2024","-1","0.14","-0.7047292","USD","SELL","00014247.672e2434.02.01"
"USD","OPT","KO    241122C00066000","","19/11/2024;13:16:01","19/11/2024","1","0.01","-1.05155","USD","BUY","00014247.673c9263.03.01"
"USD","OPT","KO    241129C00064000","","19/11/2024;13:16:01","19/11/2024","-1","0.11","-1.0546458","USD","SELL","00014247.673c9263.02.01"
"USD","OPT","KO    241129C00064000","","21/11/2024;14:31:57","21/11/2024","1","0.38","-1.04155","USD","BUY","000139b2.673f57e5.01.01"
"USD","OPT","KO    241213C00066000","","26/11/2024;10:33:01","26/11/2024","-1","0.21","-1.0574238","USD","SELL","0000f8aa.6745d945.01.01"
"USD","OPT","KO    241213C00066000","","09/12/2024;10:33:32","09/12/2024","1","0.01","-1.04395","USD","BUY","000139b2.6756efd5.01.01"
"USD","OPT","KO    241220C00065000","","09/12/2024;13:30:16","09/12/2024","-1","0.16","-1.0471848","USD","SELL","000139b2.6757033a.01.01"
"USD","OPT","KO    241220C00065000","","20/12/2024;16:20:00","20/12/2024","1","0","0","USD","BUY",""
"USD","OPT","KO    250117C00065000","","23/12/2024;13:23:30","23/12/2024","-1","0.2","-1.447296","USD","SELL","0000eaa3.67696927.01.01"
"USD","OPT","KO    250919C00072500","","05/11/2024;12:42:36","05/11/2024","1","1.78","-0.80155","USD","BUY","00011083.672a2071.01.01"
"USD","OPT","PFE   240726P00026500","","09/07/2024;10:32:29","09/07/2024","-1","0.3","-1.050474","USD","SELL","000130d1.668d3ee0.01.01"
"USD","OPT","PFE   240726P00026500","","12/07/2024;15:50:59","12/07/2024","1","0.05","-1.04685","USD","BUY","0001fadc.669124e0.01.01"
"USD","OPT","PFE   240802P00027500","","15/07/2024;12:47:16","15/07/2024","-1","0.3","-1.040474","USD","SELL","0000f9a7.66953e4c.01.01"
"USD","OPT","PFE   240802P00027500","","31/07/2024;10:08:32","31/07/2024","1","0.01","-0.79685","USD","BUY","00011083.66aa29cb.01.01"
"USD","OPT","PFE   240816P00028000","","09/08/2024;11:25:07","09/08/2024","-1","0.18","-1.5301404","USD","SELL","00015256.66b6037f.01.01"
"USD","OPT","PFE   240816P00028000","","16/08/2024;12:56:38","16/08/2024","1","0.04","-1.44685","USD","BUY","00011083.66bf540e.01.01"
"USD","OPT","PFE   240830P00027500","","16/08/2024;13:15:07","16/08/2024","-1","0.24","-0.7403072","USD","SELL","000130d1.66bf70db.01.01"
"USD","OPT","PFE   240830P00027500","","23/08/2024;15:32:47","23/08/2024","1","0.04","-0.73685","USD","BUY","0001203b.66c88a95.01.01"
"USD","OPT","PFE   241101P00029000","","16/10/2024;15:14:16","16/10/2024","-1","0.41","-0.5768798","USD","SELL","0001de5e.670fbfc1.01.01"
"USD","OPT","PFE   241101P00029000","","31/10/2024;16:20:00","31/10/2024","1","0","0","USD","BUY",""
"USD","OPT","PFE   241122C00025500","","19/11/2024;14:52:07","19/11/2024","-1","0.08","-1.0545624","USD","SELL","0000f9a7.673cb7df.01.01"
"USD","OPT","PFE   241122C00025500","","22/11/2024;13:04:52","22/11/2024","1","0.17","-1.54155","USD","BUY","0000d970.674090c6.01.01"
"USD","OPT","PFE   241129C00025500","","22/11/2024;13:04:52","22/11/2024","-1","0.4","-1.555452","USD","SELL","0000dcdf.6740af57.01.01"
"USD","OPT","PFE   241129C00025500","","29/11/2024;10:28:50","29/11/2024","1","0.59","-1.05155","USD","BUY","0000f9a7.6749c3f6.01.01"
"USD","OPT","PFE   241220C00027500","","02/12/2024;13:28:38","02/12/2024","-1","0.12","-1.0470736","USD","SELL","0000f9a7.674ddc57.01.01"
"USD","OPT","PFE   241220C00027500","","20/12/2024;16:20:00","20/12/2024","1","0","0","USD","BUY",""
"USD","OPT","SOXL  241025P00031500","","22/10/2024;15:12:47","22/10/2024","1","0.22","-1.05295","USD","BUY","000130d4.6717e3f9.03.01"
"USD","OPT","SOXL  241025P00031500","","25/10/2024;16:20:00","25/10/2024","-1","0","0","USD","SELL",""
"USD","OPT","SOXL  241025P00033000","","22/10/2024;15:12:47","22/10/2024","-1","0.48","-1.0570744","USD","SELL","000130d4.6717e3f9.02.01"
"USD","OPT","SOXL  241025P00033000","","25/10/2024;09:52:27","25/10/2024","1","0.01","-1.05295","USD","BUY","0000d54d.671b9976.01.01"
"USD","OPT","SOXL  241213P00024500","","10/12/2024;10:58:57","10/12/2024","1","0.07","-1.24395","USD","BUY","0000dcdf.675853e7.03.01"
"USD","OPT","SOXL  241213P00024500","","13/12/2024;16:20:00","13/12/2024","-1","0","0","USD","SELL",""
"USD","OPT","SOXL  241213P00026000","","10/12/2024;10:58:57","10/12/2024","-1","0.21","-1.2473238","USD","SELL","0000dcdf.675853e7.02.01"
"USD","OPT","SOXL  241213P00026000","","13/12/2024;14:35:20","13/12/2024","1","0.01","-1.04395","USD","BUY","0000f9a7.675c6846.01.01"
"USD","OPT","TSLL  250103P00024700","","31/12/2024;10:08:11","31/12/2024","-1","0.2","-1.047296","USD","SELL","000130d4.6773f009.01.01"
"USD","CASH","EUR.USD","","13/09/2024;05:26:55","13/09/2024","-700","1.10925","-1.80596","EUR","SELL","00013669.66e586d1.01.01"
"USD","CASH","EUR.USD","","01/11/2024;05:15:27","01/11/2024","-2500","1.0866","-1.83766","EUR","SELL","00013669.672c7949.01.01"
